USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 194048  7228 ?        Ss   May10   0:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root       824  0.0  0.0 114740  1136 ?        Ss   May10   0:00 /usr/bin/rsync --daemon --no-detach
rpc        826  0.0  0.0  69220  1400 ?        Ss   May10   0:00 /sbin/rpcbind -w
dbus       829  0.0  0.0  68684  2868 ?        Ssl  May10   0:29 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       837  0.0  0.0  21592  1232 ?        Ss   May10   0:20 /usr/sbin/irqbalance --foreground
root       838  0.0  0.1 290180  6068 ?        Ss   May10   0:00 /usr/sbin/sssd -i --logger=files
root       840  0.0  0.1 430544  5452 ?        Ssl  May10   0:01 /usr/sbin/ModemManager
root       842  0.0  0.1 223576  5572 ?        Ss   May10   0:00 /usr/sbin/abrtd -d -s
root       844  0.0  0.1 221236  4728 ?        Ss   May10   0:01 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
rtkit      851  0.0  0.0 198760  1652 ?        SNsl May10   0:06 /usr/libexec/rtkit-daemon
root       853  0.0  0.1 221236  4728 ?        Ss   May10   0:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
root       855  0.0  0.0  16884  1016 ?        SNs  May10   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root       862  0.0  0.0   4384   552 ?        Ss   May10   0:00 /usr/sbin/acpid
root       869  0.0  0.8 362036 33228 ?        Ssl  May10   0:02 /usr/bin/python -Es /usr/sbin/firewalld --nofork --nopid
root       875  0.0  0.1 275268  4640 ?        Ssl  May10   0:05 /usr/sbin/gssproxy -D
root       903  0.0  0.0      0     0 ?        S    11:50   0:00 [kworker/0:0]
root       909  0.0  0.1 206548  6172 ?        Ss   May10   0:11 /usr/sbin/rpc.gssd
root       916  0.0  0.2 320640 10508 ?        S    May10   0:30 /usr/libexec/sssd/sssd_be --domain default --uid 0 --gid 0 --logger=files
root       917  0.0  0.8 297984 31296 ?        S    May10   0:10 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --logger=files
root       918  0.0  0.1 285440  6900 ?        S    May10   0:08 /usr/libexec/sssd/sssd_pam --uid 0 --gid 0 --logger=files
root       919  0.0  0.0  36788  1980 ?        Ss   May10   0:13 /usr/lib/systemd/systemd-logind
root       920  0.0  0.1 406888  4580 ?        Ssl  May10   0:23 /usr/libexec/accounts-daemon
root       928  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/2:1H]
root       930  0.0  0.2 554208  9220 ?        Ssl  May10   0:02 /usr/sbin/NetworkManager --no-daemon
root       943  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/0:1H]
root      1082  0.0  0.1 107380  5512 ?        S    May10   0:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-da45206f-89c6-4220-a16b-1a7eb32df893-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
root      1323  0.0  0.5 718304 21228 ?        Ssl  May10   0:40 /usr/sbin/rsyslogd -n
root      1324  0.0  0.1 112796  4324 ?        Ss   May10   0:01 /usr/sbin/sshd -D
root      1327  0.0  0.0 163076  2412 ?        Ss   May10   0:00 /usr/sbin/xrdp-sesman --nodaemon
root      1328  0.0  0.0 152380  2856 ?        Ss   May10   0:00 /usr/sbin/xrdp --nodaemon
rpcuser   1332  0.0  0.0  44504  1796 ?        Ss   May10   0:00 /usr/sbin/rpc.statd
root      1336  0.0  0.4 573820 17168 ?        Ssl  May10   1:03 /usr/bin/python -Es /usr/sbin/tuned -l -P
root      1339  0.0  0.0  27164  1040 ?        Ss   May10   0:00 /usr/sbin/xinetd -stayalive -pidfile /var/run/xinetd.pid
zabbix    1346  0.0  0.0  78724  1352 ?        S    May10   0:00 /usr/sbin/zabbix_agentd
zabbix    1351  0.0  0.0  78724  1720 ?        S    May10   2:17 /usr/sbin/zabbix_agentd: collector [idle 1 sec]
zabbix    1352  0.0  0.0  78724  1592 ?        S    May10   1:44 /usr/sbin/zabbix_agentd: listener #1 [waiting for connection]
zabbix    1353  0.0  0.0  78724  1592 ?        S    May10   1:42 /usr/sbin/zabbix_agentd: listener #2 [waiting for connection]
zabbix    1355  0.0  0.0  78724  1592 ?        S    May10   1:43 /usr/sbin/zabbix_agentd: listener #3 [waiting for connection]
root      1361  0.0  0.0 136576  1752 ?        Ss   May10   0:03 /usr/sbin/crond -n
root      1366  0.0  0.0  25904   936 ?        Ss   May10   0:00 /usr/sbin/atd -f
root      1368  0.0  0.1 354688  4060 ?        Ssl  May10   0:01 /usr/sbin/lightdm
root      1370  0.0  0.0 627456  3768 ?        Ssl  May10   0:16 /usr/sbin/automount --pid-file /run/autofs.pid
root      1383  0.0  0.0      0     0 ?        S    12:10   0:00 [kworker/u16:1]
root      1433  0.0  0.6 382112 26212 tty1     Ssl+ May10   0:02 /usr/bin/X -background none :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt1 -novtswitch -background none
root      1506  0.0  0.3 447804 15384 ?        Sl   May10   2:03 /usr/bin/python2 -s /usr/bin/fail2ban-server -s /var/run/fail2ban/fail2ban.sock -p /var/run/fail2ban/fail2ban.pid -x -b
root      1645  0.0  0.0  91704  2208 ?        Ss   May10   0:03 /usr/libexec/postfix/master -w
postfix   1647  0.0  0.1 102152  4324 ?        S    May10   0:00 qmgr -l -t unix -u
root      1652  0.0  0.1 256644  6120 ?        Sl   May10   0:00 lightdm --session-child 18 21
lightdm   1656  0.0  0.9 714796 34956 ?        Ssl  May10   1:47 /usr/sbin/lightdm-gtk-greeter
root      1672  0.0  0.1 177164  5532 ?        Ss   12:29   0:00 sshd: allanliu [priv]
allanliu  1675  0.0  0.0 177456  3084 ?        S    12:29   0:00 sshd: allanliu@pts/1
allanliu  1678  0.0  0.0 126944  3440 pts/1    Ss   12:29   0:00 -bash
lightdm   1710  0.0  0.0 346752  3692 ?        Sl   May10   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
lightdm   1716  0.0  0.0  58860   964 ?        S    May10   0:00 dbus-launch --autolaunch=393885258ea14e918cc6cb100584d1ae --binary-syntax --close-stderr
lightdm   1717  0.0  0.0  78400  1628 ?        Ssl  May10   0:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
lightdm   1721  0.0  0.0  78400  2004 ?        Sl   May10   0:00 /bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
root      1726  0.0  0.0 129980  2900 ?        S    May10   0:00 lightdm --session-child 14 21
root      1768  0.0  0.0      0     0 ?        S<   May10   0:00 [nfsiod]
root      1900  0.0  0.0      0     0 ?        S    12:35   0:00 [kworker/5:1]
root      2127  0.0  0.0      0     0 ?        S    12:49   0:00 [kworker/4:2]
root      2152  0.0  0.0      0     0 ?        S    12:50   0:00 [kworker/1:2]
allanliu  2209  0.0  0.0 119932  2568 pts/1    S+   12:53   0:00 man chmod
allanliu  2225  0.0  0.0 110304  1000 pts/1    S+   12:53   0:00 less -s
root      2250  0.0  0.1 177164  5532 ?        Ss   12:54   0:00 sshd: allanliu [priv]
allanliu  2255  0.0  0.0 177456  3092 ?        S    12:54   0:00 sshd: allanliu@pts/0
allanliu  2257  0.0  0.0 126944  3484 pts/0    Ss   12:54   0:00 -bash
root      2309  0.0  0.0      0     0 ?        S    May14   0:00 [kworker/7:1]
postfix   2400  0.0  0.1 101972  4080 ?        S    12:58   0:00 pickup -l -t unix -u
root      2427  0.0  0.0      0     0 ?        S    13:00   0:00 [kworker/6:1]
root      2429  0.0  0.0      0     0 ?        S    13:00   0:00 [kworker/5:0]
